operatingunit,mechanismid,primepartner,implementingmechanismname
Malawi,17451,Universtiy of Washington,Human Resources for Health (HRH) Capacity Building in Malawi under the President?s Emergency Plan for AIDS Relief (PEPFAR)
Malawi,70186,TBD,Treatment IM follow-on
Malawi,15888,UNICEF,Strengthening the National OVC Program
Malawi,18603,Pact,FISH
Mozambique,13022,FHI 360,Clinical Services System Strenghening (CHASS)
Malawi,18028,World Learning,Malawi Scholarship Program
Mozambique,18282,Global Health Supply Chain Program,Global Health Supply Chain Program
Mozambique,17171,N'WETI - Comunica??o para Sa?de,N'weti - Strengthening Civil Society Engagement to Improve Sexual and Reproductive Health and Service Delivery for Youth
Mozambique,13784,Instituto Nacional de Sa?de,INS
Mozambique,18275,John Snow Inc (JSI),Strengthening High Impact Interventions for an AIDS-Free Generation (AIDSFree) Project
Mozambique,14739,World Education,Strengthen Family and Community Support to Orphan and Vunerable Children (FORCA Project)
Mozambique,18099,FHI 360,Linkages Across the Continuum of HIV Services for Key Populations affected by HIV (LINKAGES) Project
Mozambique,9811,Vanderbilt University,Friends in Global Health
Mozambique,18275,John Snow Inc (JSI),AIDS-Free Generation Project (AIDSFree)
Mozambique,14792,ISCISA- Superior Institution of Health Sciences,ISCISA
Mozambique,12149,World Vision International,SCIP Zambezia
Mozambique,18108,JHPIEGO,FADM HIV Treatment Scale-Up Program
Mozambique,14670,"Foundation for Community Development, Mozambique",Strengthening Health and Social Service System
Mozambique,14789,Elizabeth Glaser Pediatric AIDS Foundation,EGPAF
Mozambique,16052,University of California at San Francisco,UCSF-HQ
Mozambique,18456,FHI 360,YouthPower Implementation -  Task Order 1
Mozambique,18102,Johns Hopkins University Center for Communication Programs,Communication for Improved Health Outcomes (CIHO)
Mozambique,14652,Columbia University Mailman School of Public Health,Health Management Twinning
Mozambique,17723,JHPIEGO,FADM Prevention and Circumcision Program
Mozambique,13776,Center for Collaboration in Health,CCS
Mozambique,13654,TBD,University Follow on for UCM and ISCISA
Mozambique,18312,Program for Appropriate Technology in Health,Integrating Early Child Development (ECD - GDA)
Mozambique,18280,FHI 360,Integrated HIV Prevention and Health Services for Key and Priority Populations (HIS-KP)
Mozambique,18280,TBD,Integrated HIV Prevention and Health Services for Key and Priority Populations (HIS-KP)
Mozambique,14806,U.S. Department of State,P/E Quick Impact Program
Mozambique,70201,TBD,Clinical Services - Inhambane
Mozambique,12168,Pathfinder International,Increasing access to HIV prevention care and treatment for Key Populations in Mozambique
Mozambique,7315,FHI 360,Food and Nutrition Technical Assistance III (FANTA-III)
Malawi,18125,University Research Council,ASSIST
Mozambique,12168,Pathfinder International,PATHFINDER
Mozambique,18311,N'WETI - Comunica??o para Sa?de,Community Based HIV Services for the Southern Region
Mozambique,13668,Fundacao ARIEL Contra a SIDA Pediatrica,ARIEL
Mozambique,11463,U.S. Peace Corps,United States Peace Corps/ Mozambique
Mozambique,18103,FHI 360,Service Delivery and Support for Orphans and Vulnerable Children
Mozambique,11580,JHPIEGO,Johns Hopkins
Mozambique,13583,Columbia University Mailman School of Public Health,ICAP
Mozambique,18336,Catholic Relief Services,4 Children (Coordinating Comprehensive Care for Children)
Mozambique,12702,University of California at San Francisco,UCSF
Mozambique,9570,U.S. Department of State,PAS Small Grants
Mozambique,18319,Associa??o Para o Desenvolvimento S?cio-Econ?mico,HIV Community-Based Services (Nampula)
Namibia,18355,"Development Aid from People to People, Namibia",Community Based Interventions
Namibia,10397,KNCV Tuberculosis Foundation,Challenge TB Fund
Namibia,18402,TBD,DREAMS - Adolescent Girls and Young Women
Namibia,18402,TBD,Namibian Planned Parenthood Association
Namibia,18035,University of Washington,"Namibia Mechanism for Public Health Assistance, Capacity, and Technical Support (NAM-PHACTS)"
Namibia,18357,Namibia Institute of Pathology,"Expansion of HIV/AIDS, STI & TB Laboratory Activities"
Namibia,70248,TBD,NAPPA AGYW HIV Services
Namibia,18126,John Snow Inc (JSI),AIDSFree
Namibia,16756,"Ministry of Health and Social Services, Namibia",Improving the Quality of Namibia's Essential Health Services and Systems (IQ-NEHSS)
Namibia,13601,Society for Family Health,Strengthening HIV Prevention for Key Populations
Namibia,10389,Management Sciences for Health,Systems to Improve Access to Pharmaceuticals and Services
Namibia,18356,JHPIEGO,Technical Assistance to provide High Quality VMMC
Namibia,9940,"Development Aid from People to People, Namibia",Cooperative Agreement 1U2GPS0018665166
Namibia,17531,"IntraHealth International, Inc",USAID HIV Clinical Services Technical Assistance Project
Namibia,17531,"IntraHealth International, Inc",USAID HIV Clinical Services Technical Assistance Project (UTAP)
Namibia,10181,U.S. Peace Corps,PEACE CORPS NAMIBIA
Namibia,13752,Project HOPE,Adherence & Retention Project
Namibia,13752,Project HOPE,Adherence & Retention Project (ARP)
Namibia,17529,JHPIEGO,Maternal and Child Survival Program
Namibia,9876,Namibia Institute of Pathology,Cooperative Agreement 1U2GPS002058
Nigeria,18675,"Institute of Human Virology, Nigeria",ACTION to Control HIV Epidemic through Evidence (ACHIEVE)_2099
Nigeria,16848,Catholic Caritas Foundation of Nigeria (CCFN),Sustainable HIV care and Treatment Action in Nigeria (SUSTAIN)_934
Nigeria,17737,Health Initiatives for Safety and Stability in Africa,Local Partner for Orphans and Vulnerable Children 3
Nigeria,14664,Heartland Alliance for Human Needs and Human Rights,Integrated MARPs HIV Prevention Program (IMHIPP)
Nigeria,17743,Pro-Health International,Integrated Programs for Sustainable Action Against HIV/AIDS in Nigeria (IPSAN)_929
Nigeria,18677,Center for Integrated Health Programs,Partnering Effectively to end AIDS through Results and Learning (PEARL)_2097
Nigeria,16850,"AIDS Prevention Initiative in Nigeria, LTD",Comprehensive AIDS Response Enhanced for Sustainability (CARES)_924
Namibia,18401,Global Health Supply Chain Program,Global Health Supply Chain-Procurement Supply Management
Namibia,70247,TBD,VMMC Local Placeholder
Nigeria,18662,FHI 360,Youth Power Action
Nigeria,16871,"Institute of Human Virology, Nigeria",Action Plus-Up_925
Nigeria,14664,Heartland Alliance for Human Needs and Human Rights,Integrated MSM Prevention Program
Nigeria,18657,TBD,OVC TBD 2 (SMILE)
Nigeria,17747,Henry Jackson Foundation,Henry Jackson Foundation
Nigeria,18615,APIN Public Health Initiatives Ltd/Gte,Improving Comprehensive AIDS Response Enhanced for Sustainability (iCARES)_2098
Nigeria,17744,Excellence Community Education Welfare Scheme (ECEWS),Local Capacity Enhancement (LOCATE)_867
Nigeria,17727,Management Sciences for Health,MSH - Prevention Organisation Systems AIDS Care and Treatment(MSH -ProACT)
Nigeria,18128,Catholic Relief Services,Coordinating Comprehensive Care for Children - 4 Children
Nigeria,16854,Center for Clinical Care and Clinical Research Ltd,Service Expansion and Early Detection for Sustainable HIV Care (SEEDS)_868
Nigeria,16839,"Institute of Human Virology, Nigeria",Strengthening Health Human Resources in Nigeria Group (SHARING)_902
Nigeria,17735,Society for Family Health-Nigeria,SHiPS for MARPs
Nigeria,17742,Friends for Global Health Initiative in Nigeria,Supporting Universal Comprehensive and Sustainable HIV/AIDS Services (SUCCESS)_922
Nigeria,18010,Association for Reproductive and Family Health,Local Partners for Orphans & Vulnerable Children  1
Nigeria,17745,Achieving Health Nigeria Initiative,Sustaining Comprehensive HIV/AIDS Response through Parnerships (SCHARP+) _937
Nigeria,18075,Widows and Orphans Empowerment Organization,Local Partners for Orphans & Vulnerable Children  2
Nigeria,17734,KNCV Tuberculosis Foundation,Challenge TB
Nigeria,16855,Center for Integrated Health Programs,Bridges Plus_928
Nigeria,18676,Catholic Caritas Foundation of Nigeria (CCFN),Global Action towards HIV Epidemic Control in Subnational units in Nigeria (4GATES PROJECT)_2100
Nigeria,17729,Save the Children US,Systems Transformed for Empowered Action and Enabling Responses for Vulnerable Children and Families (STEER)
Nigeria,18442,Global Health Supply Chain Program,Global Health Supply Chain Program
Nigeria,18441,Management Sciences for Health,Care and Treatment in Sustained Support (CaTSS)
Nigeria,16827,Center for Integrated Health Programs,Strengthening Skills and Competencies of Care Providers for Enhanced service Delivery (SCOPE)_944
Nigeria,18441,TBD,Care and Treatment in Sustained Support Local Government Areas
Nigeria,18655,TBD,USAID Comprehensive
Nigeria,17728,Catholic Relief Services,Sustainable Mechanism for Improving Livelihood & Household Empowerment (SMILE)
Nigeria,14505,FHI 360,STRENGHTENING INTERGRATED DELIVERY OF HIV/AIDS SERVICES(SIDHAS)
Nigeria,14064,"IntraHealth International, Inc",Capacity Plus
Rwanda,17623,"Ministry of Health, Rwanda",Strengthening HIV Clinical Services in the Republic of Rwanda under PEPFAR
Nigeria,18656,TBD,OVC TBD 1 (STEER)
Rwanda,16857,African Evangelistic Enterprise,Ubaka Ejo
Rwanda,18418,Alliance for Health Communities,Alliance for Health Communities (AHC)
Rwanda,18418,TBD,TBD Follow-On C&T Rwanda
Rwanda,17616,CHF International,Twiyubake
Rwanda,13598,JHPIEGO,JHPIEGO Rwanda
Rwanda,10981,United Nations High Commissioner for Refugees,UNHCR
Rwanda,18426,Global Health Supply Chain Program,Global Health Supply Chain Program
Rwanda,16860,Fran?cois Xavier Bagnoud,Turengere Abana
Rwanda,16858,Caritas Rwanda,Gimbuka
Rwanda,17618,Society for Family Health,SFH Rwanda
Rwanda,10954,Drew University,CDU Rwanda
Rwanda,17625,"Ministry of Health, Rwanda",Implementing Technical and Science Support Services (TSSS) in the Republic of Rwanda under PEPFAR
Rwanda,17619,Emory University,Implementing Evidence-Based Prevention Intervention for Key Populations in Republic of Rwanda under PEPFAR
Rwanda,16859,Society for Family Health,Rwanda Social Marketing Program
South Africa,18484,Aurum Health Research,Aurum Comprehensive (CDC GH001981)
South Africa,13797,Health Systems Trust,District Support GH000175
South Africa,13608,University of Washington,GH000324
South Africa,18481,Health Systems Trust,Health Systems Trust Comprehensive (CDC GH001980)
South Africa,18023,TBD,TBD Comprehensive Follow On
South Africa,13695,Epicentre AIDS Risk Management,GH00372
South Africa,13761,Aurum Health Research,District HRH GH000162
South Africa,13888,Population Services International,Combination Prevention GH000243
South Africa,17020,Anova Health Institute,Systems Strengthening for Better HIV/TB Patient Outcomes
South Africa,80009,TBD,[Placeholder ? 80009 South Africa USAID]
South Africa,9569,Edication Development Center,South Africa School-Based Sexuality and HIV Prevention Education Activity
South Africa,9569,Education Development Center,South Africa School-Based Sexuality and HIV Prevention Education Activity
South Africa,16993,NACOSA (Networking AIDS Community of South Africa),Service Delivery and Support for Families Caring for Orphans and Vulnerable Children (OVC) - The Networking HIV/AIDS Community of South Africa (NACOSA)
South Africa,16584,Beyond Zero,District Support GH000889
South Africa,18299,TBD,GBV Follow-on
South Africa,70288,TBD,[Placeholder - 70288 South Africa USAID]
South Africa,17968,"Wits Health Consortium, Reproductive Health Research Unit",Wits Health Consortium Capacity Building (CDC GH001538)
South Africa,17968,"Wits Health Consortium, Reproductive Health Research Unit",Capacity Building GH001538
South Africa,17039,Broadreach,Comprehensive Clinic-Based District Services (Hybrid)
South Africa,13585,Shout It Now,GH000285
South Africa,14126,South Africa Partners,MARPs GH000250
South Africa,80002,TBD,[Placeholder ? 80002 South Africa USAID]
South Africa,70306,TBD,[Placeholder - 70306 South Africa USAID]
South Africa,17507,Kheth'Impilo,Advanced Clinical Care Centres GH001145
South Africa,17538,Johns Hopkins Health and Education in South Africa,"Community-Based Comprehensive HIV Prevention, Counseling and testing Program to Reduce HIV Incidence"
South Africa,14295,FHI 360,Capacity Development and Support Program
South Africa,13750,"University of Stellenbosch, South Africa",GH000320
South Africa,17452,American International Health Alliance,Twinning Capacity Building
South Africa,17493,National Health Laboratory Services,NHLS  (CDC GH001631)
South Africa,70291,TBD,[Placeholder - 70291 South Africa HHS/CDC]
South Africa,13709,University of Washington,University of Washington - ITECH
South Africa,16989,Childwelfare Bloemfontein & Childline Free State,Service Delivery and Support for Families Caring for Orphans and Vulnerable Children (OVC) - Childwelfare/Childline Bloemfontein
South Africa,17024,Foundation for Professional Development,Comprehensive District-Based Support for Better HIV/TB Patient Outcomes (Hybrid)
South Africa,18480,Foundation for Professional Development,Foundation for Professional Development Comprehensive (CDC GH001932)
South Africa,17029,Witkoppen Health & Welfare Centre (WHWC),HIV Innovations for Improved Patient Outcomes in South Africa (Innovation Clinic)
South Africa,13567,University of California at San Francisco,GH000251
South Africa,14623,Foundation for Professional Development,Increasing Services to Survivors of Sexual Assault
South Africa,16775,Aurum Health Research,AURUM Correctional Services (CDC GH001175)
South Africa,16775,Aurum Health Research,Correctional Services GH001175
South Africa,70287,TBD,[Placeholder - 70287 South Africa USAID]
South Africa,16981,Africa Health Placements,Africa Health Placements NPC
South Africa,70310,TBD,[Placeholder - 70310 South Africa USAID]
South Africa,17021,"Right To Care, South Africa","Performance for Health through Focused Outputs, Results and Management"
South Africa,9610,International Organization for Migration,Migrants and Mobile Populations HIV Prevention Program
South Africa,17046,Kheth'Impilo,Systems Strengthening for Better HIV/TB Patient Outcomes
South Africa,16807,"University of Stellenbosch, South Africa",University of Stellenbosch Capacity Building (CDC GH001536)
South Africa,80004,TBD,[Placeholder ? 80004 South Africa USAID]
South Africa,70311,TBD,[Placeholder - 70311 South Africa USAID]
South Africa,16990,Children in Distress,Service Delivery and Support for Families Caring for Orphans and Vulnerable Children (OVC) - Children in Distress (CINDI)
South Africa,17026,Mothers to Mothers (M2M),HIV Innovations for Improved Patient Outcomes in South Africa (Developing the Capacity of the South African Government to Achieve the eMTCT Action Framework Goals)
South Africa,17022,The South-to-South Partnership for Comprehensive Family HIV Care and Treatment Program (S2S),HIV Innovations for Improved Patient Outcomes in South Africa (Developing & Institutionalizing an Innovative Capacity Building Model to Support SA Government Priorities & to Improve HIV/TB Health Outcomes for Priority Populations  - ?South to South Stellenbosch?)
South Africa,12887,AIDS Foundation,Comp Prev GH000233
South Africa,80008,TBD,[Placeholder ? 80008 South Africa USAID]
South Africa,17037,Wits Reproductive Health& HIV Institute,Systems Strengthening for Better HIV/TB Patient Outcomes
South Africa,14291,Hospice and Palliative Care Assn. Of South Africa,Care and Support to Improve Patient Outcomes
South Africa,13923,"International Center for AIDS Care and Treatment Programs, Columbia University",NEPI
South Africa,11498,U.S. Peace Corps,U.S. Peace Corps
South Africa,16772,National Department of Health,NDOH (CDC GH001172)
South Africa,17452,American International Health Alliance,AIHA Twinning Capacity Building (HRSA)
South Africa,70290,TBD,[Placeholder - 70290 South Africa USAID]
South Africa,13903,Community Media Trust,GH000293
South Africa,16583,Aurum Health Research,District Support GH000887
South Africa,70301,TBD,[Placeholder - 70301 South Africa USAID]
South Africa,16987,Childline Mpumalanga,Service Delivery and Support for Families Caring for Orphans and Vulnerable Children (OVC) - Childline Mpumalanga & Limpopo
South Africa,17533,South Africa Partners,SA Partners Care and Support (CDC GH001554)
South Africa,16982,Foundation for Professional Development,"A Comprehensive Community-Based HIV Prevention, Counselling and Testing Programme for Reduced HIV Incidence"
South Africa,18482,TB/HIV Care,TB/HIV Care Comprehensive (CDC GH001933)
South Africa,18547,"University Research Corporation, LLC",Voluntary Medical Male Circumcision Service Delivery III Project (VMMC III)
South Africa,80007,TBD,[Placeholder ? 80007 South Africa USAID]
South Africa,70307,TBD,[Placeholder - 70307 South Africa USAID]
South Africa,17028,Wits Reproductive Health& HIV Institute,HIV Innovations for Improved Patient Outcomes for Priority Populations (Adolescent Friendly Services for Prenatally & Behaviorally HIV Infected Adolescents)
South Africa,17023,Broadreach,Systems Strengthening for Better HIV/TB Patient Outcomes
South Africa,17791,Grassroots Soccer,"Catalyzing an Adolescent Combination Prevention Program in South Africa (Activity 1), & Community SKILLZ for Health: Scaling-up Soccer-Based HIV and SGBV Prevention Programmes for Adolescents through Partnerships in South Africa (Activity 2)"
South Africa,16992,HIVSA,Service Delivery and Support for Families Caring for Orphans and Vulnerable Children (OVC) - HIV SA
South Africa,17027,Wits Reproductive Health& HIV Institute,"HIV Innovations for Improved Patient Outcomes for Priority Populations (Supporting the SA Government to Develop, Implement and Evaluate a National Sex Worker and Male Client Plan)"
South Africa,11500,U.S. Department of State,Community Grants
South Africa,17038,"Maternal, Adolscent and Child Health (MatCH)","Strengthening District Responses for Better HIV/TB Patient Outcomes in eThekwini & Umkhanyakude Districts in KwaZulu-Natal, South Africa"
South Africa,18231,TBD,DOD TBD VMMC
South Africa,14631,"Pact, Inc.",Government Capacity Building and Support Mechanism
South Africa,17018,AgriAIDS,HIV Innovations for Improved Patient Outcomes in South Africa (Innovation for HCTC)
South Africa,18483,Wits Health Consortium (Pty) Limited,MATCH (Wits Health Consortium) (CDC GH001934)
South Africa,70289,TBD,[Placeholder - 70289 South Africa USAID]
South Africa,17036,Foundation for Professional Development,Systems Strengthening for Better HIV/TB Patient Outcomes
South Africa,17019,Anova Health Institute,HIV Innovations for Improved Patient Outcomes for Priority Populations (Innovative Models for Capacity Building & Support of Scale Up of Effective HIV-related Services for MSM) - Health4Men Program
South Africa,16991,Future Families,Service Delivery and Support for Families Caring for Orphans and Vulnerable Children (OVC) - Future Families
South Africa,16372,"Right To Care, South Africa",Voluntary Medical Male Circumcision Service Delivery II Project (VMMC II)
South Africa,17017,National Association of Childcare Workers,Service Delivery and Support for Families Caring for Orphans and Vulnerable Children (OVC) - National Association of Childcare Workers (Roll-out of ISIBINDI model)
South Sudan,17701,"International Center for AIDS Care and Treatment Programs, Columbia University","International Center for AIDS Care and Treatment Programs, Columbia University"
South Africa,18254,TBD,TBD International AIDS Education and Training Center
South Africa,13619,JHPIEGO,GH000237
South Sudan,70318,TBD,Key Populations IM
South Sudan,18236,Global Health Supply Chain Program,Global Health Supply Chain Program
South Sudan,17713,FHI 360,Linkages
South Sudan,17832,Catholic Medical Mission Board,"CMMB - Prevention, Care and Treatment"
South Sudan,17714,JHPIEGO,SPPHC
South Sudan,17708,"IntraHealth International, Inc","IHI - prevention, care and treatment"
South Sudan,18397,"IntraHealth International, Inc",IntraHealth SI-OHSS
South Sudan,17700,African Medical and Research Foundation,AMREF
South Sudan,18133,Catholic Relief Services,4 Children
South Sudan,17805,Research Triangle International,RTI Care and Treatment
South Africa,13793,TB/HIV Care,Comprehensive HIV prevention GH000306
Swaziland,17461,"International Center for AIDS Care and Treatment Programs, Columbia University",ICAP Lab
Swaziland,17966,Population Services International,Support for International Family Planning and Health Organization 2
Swaziland,17966,Population Services International,Support for International Family Planning and Health Organization 2 (SIFPO 2)
Swaziland,14201,Mothers 2 Mothers,M2M (Mothers 2 Mothers)
Swaziland,14201,Mothers 2 Mothers,Reducing Infection through Support & Eduation (RISE)
Swaziland,17460,"University Research Corporation, LLC",URC - Lubombo
South Africa,17981,Society for Family Health - South Africa,Society For Family Health/Population Services International
Swaziland,70329,TBD,[Placeholder - 70329 Swaziland USAID]
Swaziland,17389,U.S. Peace Corps,Vast Grants
Swaziland,17454,Centre for HIV and AIDS Prevention Studies Swaziland,CHAPS VMMC
Swaziland,17965,Catholic Relief Services,4Children
Swaziland,18272,TBD,DOD TBD
Swaziland,17465,"John Snow, Inc.",AIDSFree
Swaziland,18600,"Pact, Inc.","Triple R (ready, resourceful, risk aware): OVC, Adolescent Girls, and Young Women"
Swaziland,17967,TBD,TBD Comprehensive mobile clinic services for remote rural population
Swaziland,17967,The Luke Commission,Comprehensive Mobile Clinical and Prevention Services (CMCPS)
Swaziland,11673,U.S. Department of Defense (Defense),DoD/USDF Umbutfo Swaziland Defence Force
Swaziland,13791,Population Services International,PSI-CIHTC (Client-initiated HIV Testing & Counseling)
Swaziland,16821,Johns Hopkins University Bloomberg School of Public Health,Health Communication Capacity Collaborative (HC3)
Swaziland,18599,mother2mothers organisation,Reducing Infection through Support and Education (RISE II)
Swaziland,18599,TBD,Reducing Infection through Support & Education II (RISE II)
Swaziland,17463,"International Center for AIDS Care and Treatment Programs, Columbia University",ICAP-Manzini
Swaziland,18250,WHO/AFRO,WHO/AFRO Disease Control
Swaziland,17464,Pact,PACT II
Swaziland,17464,Pact,Rapid and Effective Action for Combating HIV/AIDS III (REACH 3)
Swaziland,18169,Population Services International,CIHTC Follow-on
Swaziland,18387,FHI 360,FHI 360 Linkages for Care
Tanzania,7241,PharmAccess,PAI-DOD
Tanzania,17420,KNCV Tuberculosis Foundation,Challenge TB
Tanzania,16784,JHPIEGO,Sauti za Watanzania
Tanzania,18060,Elizabeth Glaser Pediatric AIDS Foundation,Boresha Afya Northern Zone
Swaziland,18331,Global Health Supply Chain Program,Global Health Supply Chain
Tanzania,17300,National Institute for Medical Research,NIMR Follow On - (GH001633)
Tanzania,18131,"IntraHealth International, Inc",VMMC Follow on - (GH002031)
Tanzania,70356,Baylor University,Mtoto Bomba
Tanzania,18198,Global Health Supply Chain Program,Global Health Supply Chain
Tanzania,9618,Touch Foundation,Touch Foundation- PPP
Tanzania,18200,Global Health Supply Chain Program,Global Health Supply Chain- Technical Assistance (GHSC-TA)
Tanzania,18627,TBD,TBD HJFMRI Follow on
Swaziland,10703,Management Sciences for Health,Systems for Improved Access to Pharmaceuticals and Services Program (SIAPS)
South Africa,17769,University of Washington,University of Washington Capacity Building for Systems Strengthening CDC GH001197)
Tanzania,18170,"Ministry of Health and Social Welfare, Tanzania",Consolidated MOH Coag - (GH17-1722)
Tanzania,18628,TBD,TBD PAI-DOD Follow on
Tanzania,16899,Management development for Health,HIS - UCC follow on - (GH001361)
Tanzania,17986,Ariel Glaser Pediatric AIDS Healthcare Initiative,Local FOA TBD1 - (GH002021)
Tanzania,17983,National Tuberculosis and Leprosy Control Program,TBD GoT TB Follow On
Tanzania,17983,TBD,TBD GoT TB Follow On
Tanzania,17293,Management development for Health,MDH Kagera - (GH001179)
Swaziland,18601,Johns Hopkins University Center for Communication Programs,"HIV Response Coordination, Community Capacity and Communications (HC4) Breakthrough Action"
Tanzania,14536,Ariel Glaser Pediatric AIDS Healthcare Initiative,AGPAHI
Tanzania,16877,Christian Council of Tanzania,DEBI-FBO - (GH000699)
Tanzania,14556,Tanzania Youth Alliance,Diffusion of Effective Behavioral Interventions
Tanzania,16885,Muhimbili University College of Health Sciences,MUHAS-TAPP - (GH000837)
Tanzania,16763,Henry Jackson Foundation,HJFMRI
Tanzania,17102,Muhimbili University College of Health Sciences,MUHAS SPH Follow On - (GH001075)
Tanzania,16787,John Snow Inc (JSI),Strengthening High Impact Interventions for an AIDS-Free Generation (AIDSFree) Project
Tanzania,12854,Vodafone Foundation,Vodafone Foundation PPP
Tanzania,18237,Deloitte Consulting Limited,Boresha Afya Southern Zone
Tanzania,14692,John Snow Inc (JSI),Community Health and Social Systems Strengthening Program (CHSSP)
Tanzania,18488,TBD,Clinical Services
Tanzania,18238,TBD,Local FOA TBD2
Tanzania,17103,Baylor College of Medicine International Pediatric AIDS Initiative/Tanzania,BIPAI-PPP (linked to BIPAI-PPP 10070)
Tanzania,17975,Columbia University,ICAP Combination Prevention and Technical Assistance. - (GH000994)
Tanzania,11528,U.S. Peace Corps,U.S. Peace Corps
Tanzania,17991,Columbia University,TBD Comprehensive High Impact HIV Prevention IP (Local) - (GH002018)
Tanzania,18243,African Field Epidemiology Network,AFENET Follow-On
Tanzania,16874,Tanzania Health Promotion Support (THPS),Local FOA Follow-on - (GH001068)
Tanzania,17305,American International Health Alliance,Twinning follow On (U7HA04128)
Tanzania,12245,University of California at San Francisco,UCSF
Tanzania,17409,JHPIEGO,Maternal and Child Survival Program (MCSP)
Tanzania,14544,Tanzania Red Cross Society,TRCS
Tanzania,17358,"Pact, Inc.",Kizazi Kipya
Tanzania,16792,TBD,Tanzania Social Action Fund
Tanzania,17358,TBD,Child and Youth Development Program (C2EYP)
Uganda,10326,"University Research Corporation, LLC",Strengthening Uganda's Systems for Treating AIDS Nationally (SUSTAIN)
Uganda,17855,Research Triangle International,"Comprehensive HIV/AIDS Prevention, Care, Treatment and Support Project with the Uganda People Defense Forces"
Tanzania,17988,University of California at San Francisco,TBD Surveillance TA - (GH000977)
Uganda,13466,Uganda Protestant Medical Board,"Provision of Comprehensive HIV/AIDS Care, Treatment and Prevention services in Track 1.0 Health Facilities in Uganda"
Uganda,17654,Elizabeth Glaser Pediatric AIDS Foundation,Regional Health Integration to Enhance Services in South West Region (RHITES-SW)
Uganda,17651,"IntraHealth International, Inc",Regional Health Integration to Enhance Services in the Eastern region (RHITES-E)
Tanzania,9681,National Tuberculosis and Leprosy Control Program,Single eligibility FOA
Uganda,17651,TBD,Regional Health Integration to Enhance Services in the Eastern region (RHITES-E)
Uganda,13161,Uganda Virus Research Institute,Enhanced Prevention
Tanzania,17304,University of Washington,University Partnership Field Epidemiology Expansion - (GH001304)
Uganda,12486,"Associazione Volontari Per II Servizio Internazionale, Uganda",Scaling Up Community Based OVC Response (SCORE)
Uganda,18672,TBD,"REFUGEE - Regional Health Integration to Enhance Services ? North, Acholi (RHITES-N, Acholi)"
Uganda,18034,TBD,Acceleration of Regional Comprehensive HIV &AIDS Service Delivery through HSS
Uganda,18034,The AIDS Support Organization,Acceleration of Regional Comprehensive HIV &AIDS Service Delivery through HSS
Uganda,18566,TBD,"Production, distribution and monitoring implementation of Rapid HIV PT, facility and site certification, HIVDR sentinel surveys, validation of emerging lab assays and lab equipment"
South Africa,16988,Kheth'Impilo,Kheth'Impilo Pharmacist Assistant PPP
Uganda,9167,Kalangala District Health Office,Provision of Comprehensive Public Health services for the fishing communities in Kalangala District in the Republic of Uganda under the President?s Emergency Plan for AIDS Relief
Tanzania,18489,TBD,Laboratory
Uganda,11480,U.S. Peace Corps,US Peace Corps
Uganda,13226,Medical Access Uganda Limited (MAUL),Procurement and Logistics Management of Health-related Commodities for HHS/CDC funded HIV/AIDS Programs
Uganda,13416,Mildmay International,"Scaling up comprehensive HIV/AIDS services including PICT,TB/HIV,OVC,ART (including pregnant women)&children through public university teaching hospitals, regional referral hospitals& public& private-not-for-profit health facilities in Uganda under PEPFAR."
Uganda,18274,John Snow Inc (JSI),"Regional Health Integration to Enhance Services ? North, Lango (RHITES-N, Lango)"
Uganda,18274,TBD,"Regional Health Integration to Enhance Services ? North, Lango (RHITES-N, Lango)"
Uganda,17706,Infectious Disease Institute,Scaling up HIV services in Western and West Nile Regions of Uganda
Uganda,13383,African Medical and Research Foundation,Supporting the Scale-up of Comprehensive HIV/AIDS Prevention Services in the Republic of Uganda under the Presidents Emergency Plan for AIDS Relief
Uganda,13325,Reach Out Mbuya,"Provision of comprehensive, community-based HIV/AIDS services and  Capacity Building of Indigenous Organizations in the Republic Of Uganda"
Uganda,18502,Population Services International,DREAMS Initiative and HIV/AIDS Prevention Support to the Ugandan Peoples Defense
Uganda,18567,"Baylor University, College of Medicine",Accelerating Epidemic Control in Fort Portal region in the Republic of Uganda under the President?s Emergency Plan for AIDS Relief (PEPFAR)
Uganda,18567,TBD,Accelerating Epidemic Control in Fort Portal region in the Republic of Uganda under the President?s Emergency Plan for AIDS Relief (PEPFAR)
Uganda,18273,TBD,"Regional Health Integration to Enhance Services ? North, Acholi (RHITES-N, Acholi)"
Uganda,18273,"University Research Corporation, LLC","Regional Health Integration to Enhance Services ? North, Acholi (RHITES-N, Acholi)"
Uganda,9879,Management Sciences for Health,STRENGTHENING TUBERCULOSIS AND HIV/AIDS RESPONSES IN THE EASTERN REGION OF UGANDA (STAR-E)
Uganda,17978,Infectious Disease Institute,Acceleration of Regional Comprehensive HIV &AIDS Service Delivery through HSS
Uganda,17978,TBD,Acceleration of Regional Comprehensive HIV &AIDS Service Delivery through HSS
Uganda,70363,TBD,TBD
Uganda,17698,Uganda Prisons Services,"Provision of comprehensive HIV/AIDS and TB services including prevention, care, support and treatment to prisoners and staff of the prisons service in the Republic of Uganda under PEPFAR"
Uganda,13892,Research Triangle International,School Health and Reading Program (SHRP)
Uganda,13136,Infectious Disease Institute,"Scaling up comprehensive HIV/ Aids Services Including Provider Initiated Testing and Counseling (PITC), MARPI, SGBV at KCC Clinics"
Uganda,17690,"IntraHealth International, Inc",Strengthening HRH
